open,high,low,close,volume,timestamp
156.84,156.86,156.48,156.48,33.188,1723366500000
156.50,156.77,156.47,156.77,57.884,1723366800000
156.65,156.75,156.47,156.65,26.001,1723367100000
156.78,157.04,156.72,156.72,46.65,1723367400000
156.73,157.12,156.73,157.12,18.104,1723367700000
157.10,158.02,157.07,157.58,171.657,1723368000000
157.60,157.60,157.21,157.40,43.966,1723368300000
157.48,157.79,157.01,157.20,42.326,1723368600000
157.17,157.28,156.28,156.38,132.636,1723368900000
156.46,156.60,156.11,156.23,48.841,1723369200000
156.19,156.33,155.61,155.93,141.363,1723369500000
156.03,156.06,155.24,155.57,42.425,1723369800000
155.55,155.73,155.48,155.73,112.145,1723370100000
155.63,155.64,154.97,155.10,44.989,1723370400000
155.20,155.74,155.20,155.72,16.034,1723370700000
155.76,156.05,155.75,155.91,42.204,1723371000000
155.88,156.08,155.60,155.60,42.367,1723371300000
155.59,155.82,155.45,155.61,36.761,1723371600000
155.58,155.99,155.58,155.94,29.737,1723371900000
156.00,156.27,155.78,156.03,86.722,1723372200000
156.02,156.04,155.52,155.68,57.553,1723372500000
155.58,155.68,155.54,155.54,22.154,1723372800000
155.51,155.78,155.50,155.73,22.762,1723373100000
155.76,155.83,155.54,155.54,13.897,1723373400000
155.54,155.54,155.17,155.19,19.634,1723373700000
155.17,155.30,154.18,154.49,234.569,1723374000000
154.45,154.70,154.37,154.58,33.119,1723374300000
154.57,154.77,154.32,154.47,9.942,1723374600000
154.46,154.46,153.83,154.03,83.625,1723374900000
153.96,154.27,153.49,153.80,43.133,1723375200000
153.75,153.83,153.65,153.68,38.116,1723375500000
153.60,153.95,153.53,153.88,15.131,1723375800000
153.82,153.98,153.77,153.83,50.146,1723376100000
153.79,153.79,153.16,153.26,79.599,1723376400000
153.17,153.57,153.07,153.50,40.384,1723376700000
153.55,153.79,153.55,153.76,43.302,1723377000000
153.72,153.86,153.71,153.75,30.2,1723377300000
153.64,153.84,153.51,153.62,31.045,1723377600000
153.56,153.59,153.29,153.29,41.859,1723377900000
153.25,153.26,151.73,151.85,358.095,1723378200000
151.78,152.45,151.70,152.34,131.64,1723378500000
152.33,152.52,152.22,152.42,71.406,1723378800000
152.53,152.53,152.18,152.22,13.95,1723379100000
152.23,152.35,151.73,151.88,58.554,1723379400000
151.83,151.85,151.46,151.60,61.957,1723379700000
151.62,151.96,151.62,151.82,49.243,1723380000000
151.79,151.95,150.81,150.81,287.64,1723380300000
150.86,151.45,150.77,151.32,101.135,1723380600000
151.33,151.73,151.33,151.62,73.591,1723380900000
151.60,151.62,150.59,150.75,127.736,1723381200000
150.84,151.04,150.31,150.43,187.845,1723381500000
150.40,150.58,149.82,150.53,194.288,1723381800000
150.54,150.74,150.19,150.61,42.431,1723382100000
150.59,150.90,150.49,150.68,69.578,1723382400000
150.65,150.67,150.02,150.41,40.28,1723382700000
150.35,150.76,150.16,150.58,44.87,1723383000000
150.51,150.90,150.51,150.79,30.966,1723383300000
150.75,150.80,150.35,150.60,91.814,1723383600000
150.52,151.69,150.49,151.68,138.533,1723383900000
151.58,151.90,151.37,151.52,62.858,1723384200000
151.61,151.65,151.30,151.35,8.431,1723384500000
